Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.066967,0.00044618,-0.48889,0,0,0,17.13,1.0729,-0.00019528,-1.5219E-06,1.0726,5.6588E-08,0.032317,0,0,0,0,0,0,package://7dof_sw/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://7dof_sw/meshes/base_link.STL,,base-1,坐标系base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.020119,0.028992,0.0023317,0,0,0,0.46486,0.0004113,-0.00019677,-7.7309E-06,0.00050675,-6.0618E-06,0.0006608,0,0,0,0,0,0,package://7dof_sw/meshes/Link1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://7dof_sw/meshes/Link1.STL,,link 1-1,坐标系1,基准轴1,j1,revolute,0.12443,0.0018162,-0.0011916,-0.03927,0,0,base_link,-1,0,0,66,3.5,-2.618,2.618,,,,,,,,
Link2,0.0061277,0.0033593,-2.3028E-05,0,0,0,0.47828,0.00048747,4.2111E-05,-7.0962E-08,0.00039983,-2.7027E-07,0.00046821,0,0,0,0,0,0,package://7dof_sw/meshes/Link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://7dof_sw/meshes/Link2.STL,,link 2-1,坐标系2,基准轴2,j2,revolute,0.05607,-0.0018616,0.0011194,0.03927,0,0,Link1,0,-1,0,66,3.5,-1.5708,1.5708,,,,,,,,
Link3,0.016029,0.0014407,-0.00029401,0,0,0,0.68465,0.00041914,-9.6916E-06,5.9267E-06,0.00057088,-2.3757E-06,0.00054948,0,0,0,0,0,0,package://7dof_sw/meshes/Link3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://7dof_sw/meshes/Link3.STL,,link 3-1,坐标系3,基准轴3,j3,revolute,0.1496,0,0,0,0,0,Link2,1,0,0,29,2.41,-2.618,2.618,,,,,,,,
Link4,0.080005,0.0070707,-2.2919E-06,0,0,0,0.35759,0.00020571,2.7438E-05,7.1512E-07,0.00022192,-1.9884E-08,0.00023261,0,0,0,0,0,0,package://7dof_sw/meshes/Link4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://7dof_sw/meshes/Link4.STL,,link 4.1-1,坐标系4,基准轴4,j4,revolute,0.1205,0,0,0,0,0,Link3,0,-1,0,29,2.41,-2.2689,2.2689,,,,,,,,
Link5,-0.13038,-1.4901E-05,-0.0027597,0,0,0,0.42177,0.00013625,-4.0094E-08,-5.6229E-06,0.00057903,-1.3391E-09,0.00053999,0,0,0,0,0,0,package://7dof_sw/meshes/Link5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://7dof_sw/meshes/Link5.STL,,wrist-1,坐标系5,基准轴5,j5,revolute,0.36155,0,0,0,0,0,Link4,-1,0,0,8.3,4.19,-1.5708,1.5708,,,,,,,,
